,rtt
1811,36263.0
1812,391387.5
1813,55789.0
1814,42194.5
1815,33394.5
1816,42341.0
1817,88764.5
1818,40578.0
1819,38813.5
1820,31265.0
1821,40073.5
1822,33269.5
1823,43859.5
1824,55326.0
1825,46327.5
1826,44192.0
1827,40054.0
1828,39194.0
1829,40186.5
1830,92707.0
1831,32561.5
1832,51577.5
1833,51832.5
1834,45398.5
1835,58362.0
1836,32387.5
1837,42660.5
1838,43129.5
1839,42014.0
1840,39277.5
1841,48086.5
1842,85751.5
1843,43648.5
1844,33624.0
1845,42455.0
1846,41026.0
1847,35185.0
1848,40131.5
1849,46478.5
1850,40992.0
1851,40603.5
1852,49598.0
1853,41514.0
1854,90864.5
1855,37959.5
1856,39584.5
1857,39863.0
1858,42131.5
1859,33807.5
1860,28730.0
1861,38961.5
1862,38436.5
1863,41997.5
1864,38916.0
1865,87038.0
1866,38158.5
1867,43988.5
1868,32357.5
